Name,Action,Protocol,Src-Address,Src-Port,Dst-Address,Dst-Port
acl_Permit_IP_170.70.13.29,permit,ip,172.17.100.0/24,170.70.13.29/32, , 
acl_Permit_IP_170.70.13.30,permit,ip,172.17.100.0/24,170.70.13.30/32, , 
acl_Permit_IP_170.70.13.50,permit,ip,172.17.100.0/24,170.70.13.50/32, , 
acl_Permit_IP_170.70.13.144,permit,ip,172.17.100.0/24,170.70.13.144/32, , 
acl_Permit_IP_170.70.13.165,permit,ip,172.17.100.0/24,170.70.13.165/32, , 
acl_Permit_IP_170.70.13.167,permit,ip,172.17.100.0/24,170.70.13.167/32, , 
acl_Permit_IP_170.70.48.17,permit,ip,172.17.100.0/24,170.70.48.17/32, , 
acl_Permit_IP_170.70.48.18,permit,ip,172.17.100.0/24,170.70.48.18/32, , 
acl_Permit_IP_170.70.48.240,permit,ip,172.17.100.0/24,170.70.48.240/32, , 
acl_Permit_DHCP,permit,udp,0.0.0.0/0,0.0.0.0/0,68,67
acl_Deny_Any_Any,deny,ip,0.0.0.0/0,0.0.0.0/0, , 
acl_GUA_request_170.70.1.154,permit,icmp,172.17.0.0/16,170.70.1.154/32,any,any
acl_GUA_reply_170.70.1.203,permit,icmp,172.17.0.0/16,170.70.1.203/32,any,any
acl_GUA_request_170.70.1.203,permit,icmp,172.17.0.0/16,170.70.1.203/32,any,any
acl_GUA_reply_170.70.65.0,permit,icmp,172.17.0.0/16,170.70.65.0/24,any,any
acl_GUA_request_170.70.65.0,permit,icmp,172.17.0.0/16,170.70.65.0/24,any,any
acl_GUA_reply_170.70.25.0,permit,icmp,172.17.0.0/16,170.70.25.0/24,any,any
acl_GUA_request_170.70.25.0,permit,icmp,172.17.0.0/16,170.70.25.0/24,any,any
acl_Permit_TCP_170.70.25.0_3,permit,tcp,172.17.81.0/24,170.70.25.0/26,3000-3001,any
acl_Permit_UFP_170.70.25.11_1,permit,udp,172.17.0.0/16,170.70.25.11/32,any,52440
acl_Permit_UFP_170.70.25.11_2,permit,udp,172.17.0.0/16,170.70.25.11/32,any,52442
acl_Permit_UFP_170.70.25.12_1,permit,udp,172.17.0.0/16,170.70.25.12/32,any,52440
acl_Permit_UFP_170.70.25.15_1,permit,udp,172.17.0.0/16,170.70.25.15/32,any,52440
acl_Permit_UFP_170.70.25.23_1,permit,udp,172.17.0.0/16,170.70.25.23/32,any,52440
acl_Deny_Any_Any,deny,ip,0.0.0.0/0,0.0.0.0/0, , 
acl_Deny_UPD_4444,deny,udp,0.0.0.0/0,0.0.0.0/0,1024-65535,4444
acl_Deny_UPD_4996,deny,udp,0.0.0.0/0,0.0.0.0/0,1024-65535,4996
acl_Deny_UPD_69,deny,udp,0.0.0.0/0,0.0.0.0/0,1024-65535,69
acl_Deny_IP_10.0.0.0,deny,ip,10.0.0.0/24,0.0.0.0/0, , 
acl_Deny_IP_127.0.0.0,deny,ip,127.0.0.0/24,0.0.0.0/0, , 
acl_Deny_IP_169.254.0.0,deny,ip,169.254.0.0/16,0.0.0.0/0, , 
acl_Deny_IP_192.0.0.0,deny,ip,192.0.0.0/8,0.0.0.0/0, , 
acl_Deny_IP_172.16.0.0,deny,ip,172.16.0.0/16,0.0.0.0/0, , 
acl_Permit_DHCP,permit,udp,0.0.0.0/0,0.0.0.0/0,68,67
acl_Permit_UDP_170.70.48.18,permit,udp,172.17.87.0/24,170.70.48.18/32,67,any
acl_Permit_UDP_170.70.48.17,permit,udp,172.17.87.0/24,170.70.48.17/32,67,any
acl_Permit_UDP_170.70.48.240,permit,udp,172.17.87.0/24,170.70.48.240/32,67,any
acl_SubImpresoras_reply_1,permit,icmp,172.17.87.0/24,170.70.66.0/24,any,any
acl_SubImpresoras_request_1,permit,icmp,172.17.87.0/24,170.70.66.0/24,any,any
acl_SubImpresoras_reply_2,permit,icmp,172.17.87.0/24,170.70.13.0/24,any,any
acl_SubImpresoras_request_2,permit,icmp,172.17.87.0/24,170.70.13.0/24,any,any
acl_SubImpresoras_reply_7,permit,icmp,172.17.87.0/24,170.70.38.0/24,any,any
acl_SubImpresoras_request_7,permit,icmp,172.17.87.0/24,170.70.38.0/24,any,any
acl_SubImpresoras_reply_3,permit,icmp,172.17.87.0/24,170.70.49.0/24,any,any
acl_SubImpresoras_request_3,permit,icmp,172.17.87.0/24,170.70.49.0/24,any,any
acl_SubImpresoras_reply_4,permit,icmp,172.17.87.0/24,170.70.1.0/24,any,any
acl_SubImpresoras_request_4,permit,icmp,172.17.87.0/24,170.70.1.0/24,any,any
acl_SubImpresoras_reply_5,permit,icmp,172.17.87.0/24,170.70.41.0/24,any,any
acl_SubImpresoras_request_5,permit,icmp,172.17.87.0/24,170.70.41.0/24,any,any
acl_SubImpresoras_reply_6,permit,icmp,172.17.87.0/24,170.70.65.241/32,any,any
acl_SubImpresoras_request_6,permit,icmp,172.17.87.0/24,170.70.65.241/32,any,any
acl_SubImpresoras_reply_8,permit,icmp,172.17.87.0/24,170.70.65.245/32,any,any
acl_SubImpresoras_request_8,permit,icmp,172.17.87.0/24,170.70.65.245/32,any,any
acl_Deny_ICMP,deny,ip,0.0.0.0/0,0.0.0.0/0, , 
acl_Permit_UDP_170.70.13.30,permit,udp,172.17.87.0/24,170.70.13.30/32,any,any
acl_Permit_UDP_170.70.13.50,permit,udp,172.17.87.0/24,170.70.13.50/32,any,any
acl_Permit_UDP_170.70.13.29,permit,udp,172.17.87.0/24,170.70.13.29/32,any,any
acl_Permit_TCP_170.70.13.190,permit,tcp,172.17.87.0/24,170.70.13.190/32,any,any
acl_Permit_TCP_170.70.13.29_1,permit,tcp,172.17.87.0/24,170.70.13.29/32,any,any
acl_Permit_TCP_170.70.13.29_2,permit,tcp,172.17.87.0/24,170.70.13.29/32,any,any
acl_Permit_UDP_170.70.13.29_1,permit,udp,172.17.87.0/24,170.70.13.29/32,any,any
acl_Permit_TCP_170.70.13.30_1,permit,tcp,172.17.87.0/24,170.70.13.30/32,any,any
acl_Permit_TCP_170.70.13.30_2,permit,tcp,172.17.87.0/24,170.70.13.30/32,any,any
acl_Permit_UDP_170.70.13.30_1,permit,udp,172.17.87.0/24,170.70.13.30/32,any,any
acl_Permit_TCP_170.70.13.50_1,permit,tcp,172.17.87.0/24,170.70.13.50/32,any,any
acl_Permit_TCP_170.70.13.50_2,permit,tcp,172.17.87.0/24,170.70.13.50/32,any,any
acl_Permit_UDP_170.70.13.50_1,permit,udp,172.17.87.0/24,170.70.13.50/32,any,any
acl_Permit_TCP_170.70.13.199_1,permit,tcp,172.17.87.0/24,170.70.13.199/32,any,any
acl_Permit_TCP_170.70.13.199_2,permit,tcp,172.17.87.0/24,170.70.13.199/32,any,any
acl_Permit_UDP_170.70.13.199_1,permit,udp,172.17.87.0/24,170.70.13.199/32,any,any
acl_Permit_TCP_170.70.49.103_1,permit,tcp,172.17.87.0/24,170.70.49.103/32,843,any
acl_Permit_TCP_170.70.49.103_2,permit,tcp,172.17.87.0/24,170.70.49.103/32,3910,any
acl_Permit_TCP_170.70.49.103_3,permit,tcp,172.17.87.0/24,170.70.49.103/32,7627,any
acl_Permit_TCP_170.70.49.103_4,permit,tcp,172.17.87.0/24,170.70.49.103/32,9100,any
acl_Permit_TCP_170.70.49.103_5,permit,tcp,172.17.87.0/24,170.70.49.103/32,9400,any
acl_Permit_TCP_170.70.49.103_6,permit,tcp,172.17.87.0/24,170.70.49.103/32,59113,any
acl_Permit_TCP_170.70.49.103_7,permit,tcp,172.17.87.0/24,170.70.49.103/32,any,80
acl_Permit_TCP_170.70.49.103_8,permit,tcp,172.17.87.0/24,170.70.49.103/32,any,443
acl_Permit_TCP_170.70.49.103_9,permit,tcp,172.17.87.0/24,170.70.49.103/32,any,389
acl_Permit_TCP_170.70.49.103_10,permit,tcp,172.17.87.0/24,170.70.49.103/32,any,636
acl_Permit_TCP_170.70.49.103_11,permit,tcp,172.17.87.0/24,170.70.49.103/32,any,1443
acl_Permit_TCP_170.70.49.103_12,permit,tcp,172.17.87.0/24,170.70.49.103/32,any,2000
acl_Permit_TCP_170.70.49.103_13,permit,tcp,172.17.87.0/24,170.70.49.103/32,any,any
acl_Permit_TCP_170.70.49.103_14,permit,tcp,172.17.87.0/24,170.70.49.103/32,any,9100
acl_Permit_TCP_170.70.49.103_15,permit,tcp,172.17.87.0/24,170.70.49.103/32,any,any
acl_Permit_TCP_170.70.49.103_16,permit,tcp,172.17.87.0/24,170.70.49.103/32,any,65211
acl_Permit_UDP_170.70.49.103_17,permit,udp,172.17.87.0/24,170.70.49.103/32,162,any
acl_Permit_UDP_170.70.49.103_18,permit,udp,172.17.87.0/24,170.70.49.103/32,445,any
acl_Permit_UDP_170.70.49.103_19,permit,udp,172.17.87.0/24,170.70.49.103/32,1434,any
acl_Permit_UDP_170.70.49.103_20,permit,udp,172.17.87.0/24,170.70.49.103/32,2493,any
acl_Permit_UDP_170.70.49.103_21,permit,udp,172.17.87.0/24,170.70.49.103/32,3702,any
acl_Permit_UDP_170.70.49.103_22,permit,udp,172.17.87.0/24,170.70.49.103/32,8000,any
acl_Permit_UDP_170.70.49.103_23,permit,udp,172.17.87.0/24,170.70.49.103/32,any,69
acl_Permit_UDP_170.70.49.103_24,permit,udp,172.17.87.0/24,170.70.49.103/32,any,427
acl_Permit_UDP_170.70.49.103_25,permit,udp,172.17.87.0/24,170.70.49.103/32,any,2493
acl_Permit_UDP_170.70.49.103_26,permit,udp,172.17.87.0/24,170.70.49.103/32,any,any
acl_Permit_TCP_170.70.49.191_1,permit,tcp,172.17.87.0/24,170.70.49.191/32,843,any
acl_Permit_TCP_170.70.49.191_2,permit,tcp,172.17.87.0/24,170.70.49.191/32,3910,any
acl_Permit_TCP_170.70.49.191_3,permit,tcp,172.17.87.0/24,170.70.49.191/32,7627,any
acl_Permit_TCP_170.70.49.191_4,permit,tcp,172.17.87.0/24,170.70.49.191/32,9100,any
